GMID,story_1_SDR_rotD50,story_1_PFA_rotD50,story_2_SDR_rotD50,story_2_PFA_rotD50,story_3_SDR_rotD50,story_3_PFA_rotD50,story_4_SDR_rotD50,story_4_PFA_rotD50,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM728_RSN4997,0.0019928000804583447,0.09063872768528008,0.0012001545989712764,0.12013097034543294,0.0007484041078020641,0.14347956016491994,0.00027169013154560074,0.16335952624700142,132.7007303386427,48.4561069038876,5.521621697109351,105.46599849009502,281.40756674749576,19.62110021479497,50.83429560092277,4.62271737091282,10.47,22.83
GM729_RSN5093,0.0011777752997976718,0.02133486439528333,0.0007324981367313423,0.028949364042493667,0.00041604578076109866,0.03423093369449023,7.505256444084575e-05,0.03760967497944943,38.27552459857595,16.67049500670905,4.620479177484827,34.866962310129466,280.7626290357493,16.698281995272378,12.886395654963474,17.318217539080138,40.73,108.95
GM730_RSN5123,0.0011512070934394478,0.03244429079987873,0.000674779043252469,0.03662269861003916,0.0003741731768299825,0.038304839671666105,7.655894045005398e-05,0.05250752527699963,34.805564154068435,15.849859586115551,3.2422814064160272,40.31665842693244,251.8057923803136,20.31936397454581,18.356969367241888,15.448390224628373,25.51,64.82000000000001
GM731_RSN5130,0.001552958297602317,0.07230003541870875,0.001118195113019479,0.11020723392067736,0.0007316035275486818,0.13447896441560897,0.0002741644008790118,0.16940578609599835,119.16140595132276,37.546312903183455,4.672324754379087,99.3159244763171,303.14694491599136,20.424146942317986,46.486418583543305,4.192064201020875,11.744999999999996,27.295
GM732_RSN5207,0.001822678010298394,0.07854095366421054,0.0010087628820832667,0.0836824248355967,0.0005903949895732201,0.10770061156189906,0.00022603899124415804,0.1293388429436467,165.02960644841477,36.07533563601214,6.034242558674148,99.84120486068808,441.1781291897273,40.0967043580752,39.173362993523966,8.8895367324702,16.799999999999997,36.48
GM733_RSN5264,0.017932296910515677,0.9453217102679257,0.009699004623349787,0.9052416726196549,0.008272628448029867,0.8878187837032591,0.002635559903204637,0.9365257835891394,791.5436925898601,506.095797994265,81.0990320229018,875.6755029933814,1336.298306948192,464.7016410056714,369.4974902331719,291.2024695977158,5.010000000000002,6.440000000000001
GM734_RSN5268,0.0021292104682437978,0.17165459447268616,0.0018108769838235956,0.21500546371578652,0.0009657259437009973,0.22042285593100258,0.0004969279077103102,0.2607115404798124,268.9267539137905,95.62578957600785,6.9258371305244095,187.80737372480849,429.4008603664821,43.8907724323776,91.41842340815784,15.478793241376644,8.680000000000003,26.890000000000004
GM735_RSN5351,0.0012615242159280246,0.043839037081932666,0.0007549695491386578,0.05115184674780767,0.0004547914659336286,0.051895176900648196,0.00012645098239499837,0.059793589857583845,76.9992362121824,19.19720042251351,3.896642995641591,59.48177182718644,215.67350142524228,20.7841325088893,18.671485708337727,10.979532792769476,14.9,68.18
GM736_RSN5433,0.0016533506148435064,0.05271066351728774,0.0009160632318937485,0.06717697081911064,0.0005923361343287549,0.0777342125450464,0.00015922600477544693,0.09445302478606196,71.79317456935618,24.33362619268454,3.063635001651525,68.98866260277984,191.66788238913367,15.721156756921287,27.0918173571723,3.8654273983202176,10.549999999999995,23.989999999999995
GM737_RSN5564,0.0012405749613499319,0.02069104988983607,0.0007129586238936126,0.029579245709632072,0.00042143396199967873,0.03739011916328712,6.97320544144104e-05,0.04167113594113721,31.60988227362565,8.639148146632543,2.0225096939107585,22.54345015088041,171.45753289338322,7.401957280957622,12.194518785631333,10.06485638741406,45.55,78.49000000000001
