,PGA,PGV,DS_5to70,DS_5to95,CAV,ASI,SI,DSI,SA(0.05),SA(0.1),SA(0.2),SA(0.3),SA(0.4),SA(0.5),SA(0.6),SA(0.8),SA(1),SA(2),SA(4),SA(6),SA(8),SV(0.5),SD(0.5)
52,159.203902,5.190376918,6.62,16.63,346.8301123,100.221112,25.90127685,5.424598033,199.5020834,225.5050857,370.0475311,226.5231837,174.6975156,164.3573809,98.33557388,65.71254546,81.48196914,27.55489384,4.700027262,1.227334609,0.723555231,13.0791448,1.040805273
53,208.746019,12.74048651,4.9,11.825,395.0685623,150.779704,39.73433512,11.58921939,245.5117412,339.4481892,389.8898085,525.3957858,221.7833139,232.0602311,198.6744159,162.3060396,99.62083245,52.71121643,7.38989329,3.02932518,2.295033628,18.46676643,1.46953858
54,191.0168707,11.01609893,6.26,16.055,522.7303235,147.5616445,48.56011821,23.39167837,275.9087258,350.7396376,354.059829,391.2248839,220.5254463,204.0169504,178.0159683,143.0189293,161.8844379,60.66566189,16.49246897,5.223551349,2.625511849,16.23515306,1.291952431
55,197.2869485,13.30201851,6.82,20.415,567.9549717,147.172494,55.64902901,22.58340762,203.6817326,363.5651756,409.7870306,454.617323,235.1872393,360.7092888,351.6873385,193.7546805,165.0454478,91.57503609,18.22391736,6.349847063,4.703489009,28.70433317,2.284218256
56,186.8785625,7.331308233,4.825,9.365,395.2900142,150.4933539,19.99907036,5.098999412,279.3635213,347.7838564,332.9957283,534.845764,355.3834365,195.5130373,107.5793526,57.97859076,51.35122236,12.11260627,4.446652845,2.447726111,1.033919032,15.55843316,1.238100772
57,111.4634626,5.551381733,5.525,10.725,369.389047,133.060388,19.31585744,4.361001395,201.739909,287.8008815,337.846929,412.4571225,262.3011703,204.8408364,103.1879651,52.01033221,33.69259757,13.96518837,3.494312393,2.368968905,1.163606094,16.30071583,1.29716975
58,372.0250744,44.59489383,4.635,7.94,995.0065656,394.7747372,106.3952748,71.96607344,375.3001572,557.3155774,954.9259937,1244.408691,865.8730692,768.5455189,560.1853121,403.7183255,223.08833,120.5890682,69.91864902,66.03105172,42.59937073,61.15890916,4.866871353
59,142.1165989,21.4809799,9.615,19.625,647.3825094,126.0557448,73.04219788,62.30045955,188.4244955,283.4267449,393.3632965,319.3817357,350.5626952,215.1397891,230.1516981,175.7697629,188.5669675,133.2563681,59.09480229,45.1694554,31.10369591,17.12028045,1.36238863
60,115.8286967,22.98880254,9.69,19.525,586.5913188,108.5407166,55.91869067,53.02115883,165.7267942,231.2809652,346.6018266,312.3066015,235.3551988,191.8474802,186.3218272,153.9336209,154.3767923,77.70662366,45.63878205,31.65210143,37.54567547,15.2667374,1.214888361
61,115.6764975,16.12809064,8.085,21.43,532.451678,111.3081184,53.51171665,39.04497635,131.8522804,245.8785629,351.2332102,293.1846304,270.8903237,230.2389538,232.291213,128.7989671,145.3119899,83.57030311,39.46944992,21.27790921,19.22531362,18.32183379,1.458005207
62,135.8673112,13.65443671,8.96,21.61,532.936481,127.6263617,41.30638199,40.64080345,165.2943239,272.6190037,400.9015144,430.0422524,273.3664871,164.7336709,164.062543,113.1294654,71.32876978,50.44962544,32.39645264,32.62601651,12.59511405,13.10908901,1.043188157
63,262.2215834,47.95720948,4.325,11.895,900.9395815,276.4031835,147.2212153,108.7312483,336.6576108,664.6938191,804.7245651,656.4986498,576.9797396,543.8970842,542.2126901,436.2635676,267.1844583,270.9673078,97.74580882,28.6408097,33.38578868,43.28195475,3.444268522
64,218.2160067,43.27658573,5.13,14.15,730.5150262,198.4924288,65.49917493,102.9895715,282.9128804,749.3067446,718.7793571,356.0719722,288.1267369,487.0185937,383.4331356,164.6595502,128.6949676,78.26026887,108.178329,63.44425947,30.50643856,38.75570828,3.084081273
65,474.9470429,39.63128378,2.73,6.715,838.4641224,357.0475847,178.1139656,69.04242174,550.4785634,872.6634986,1032.811776,970.2893486,843.0016421,701.7253221,704.6814661,727.6108015,531.2596006,285.7314214,55.88938106,34.4631345,39.05273006,55.84152685,4.443727514
66,363.2652843,80.38726395,3.4,10.26,777.1531568,243.6012299,183.2777454,272.7263301,484.5083433,452.6967779,730.8171426,449.8899627,496.3329312,605.1522788,353.3858405,427.3314923,485.767526,331.6114951,281.9434597,130.8575664,66.99587604,48.15648825,3.832171573
67,518.4491462,48.89409774,3.55,8.295,966.0674785,414.0014218,168.3947864,136.945459,853.1973601,1178.356557,1148.568067,950.7402066,892.038396,1004.015873,524.0016832,496.0018371,405.8031016,234.7962236,108.3371546,78.90252109,68.78341063,79.89704458,6.358004792
68,375.7379702,96.86931055,3.79,9.55,1006.522206,395.9129944,217.5701111,311.4173596,735.6016953,576.8395202,702.5729697,1077.946397,1311.263893,995.2447525,663.7718744,493.107021,668.1068108,335.1362886,314.444057,131.9219625,65.03011539,79.19906097,6.302461021
69,438.6371368,66.99642932,5.27,11.46,979.9443425,269.0019381,207.4495952,185.9661338,1208.025574,1245.955919,634.8824102,849.0491197,509.3069232,514.4580289,655.6488761,805.7874,595.9339739,381.650982,163.6524141,51.72659837,30.22834942,40.93926916,3.257843527
70,440.3609497,113.5148015,4.27,8.73,1048.194698,304.804319,222.3935534,359.687537,770.9466987,706.6992815,668.6671638,884.1460198,812.7565056,658.7425672,649.5219558,579.0768299,427.0769421,427.567351,375.1708771,149.7618338,64.72262886,52.4210679,4.171536039
71,334.2200464,51.66299456,2.77,6.85,646.6535021,205.6306589,173.378648,121.0503294,347.3428523,381.2228001,531.2247526,608.5669376,393.3269981,524.6746871,605.4907896,688.3299727,646.138486,209.815141,98.59507745,64.3814408,38.39028987,41.75228499,3.32254127
72,460.0173009,113.1007481,1.365,4.795,808.8393524,309.876315,267.861692,289.5140377,469.8755516,564.0163348,723.6864783,723.4512648,818.5470834,816.0651379,838.0173985,1290.52056,656.026441,449.9603048,278.6514958,102.3198324,44.70775832,64.94040029,5.167792857
73,598.345689,54.47244811,3.015,6.82,893.8099312,365.181313,183.765123,111.779466,662.9094589,1247.403558,1063.084708,893.4812916,847.8413131,751.6308363,739.6905231,483.6207974,361.6065679,279.4596971,103.7270082,65.81980962,47.40498914,59.81288149,4.759757875
74,457.0755021,52.06430592,2.855,5.765,864.366073,327.8702135,126.3842036,162.7186845,648.7115332,1271.35862,750.6184988,557.1130063,643.7224383,640.6672736,716.1811332,424.0210811,339.7072564,140.8490776,172.2898594,87.78351159,41.43649622,50.98268173,4.057072905
75,253.1610233,53.11808882,4.695,11.815,797.9703648,234.5655812,109.1132796,147.0797991,294.0711868,387.6525576,512.2370953,756.8715248,535.0569443,579.847561,446.4449562,372.8159945,336.3242171,137.7793618,153.4581965,77.65577324,40.47866012,46.14280279,3.671927576
76,217.1686565,51.4422247,4.705,12.815,782.6452078,240.017282,112.5181339,140.9411818,257.8586725,471.7392995,853.3789538,761.9080967,559.9378295,370.945525,270.37794,269.7512911,257.8959495,160.85102,143.155841,58.19430469,46.27962211,29.51890696,2.349039979
