GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM416_RSN1615,0.0004238889251160025,0.00036707415769568973,0.2933632551475178,0.28061347833025047,343.34911597410564,188.28364222508128,12.535951679359083,309.87487680476835,667.8662364553314,54.59816044477339,211.11434628109973,19.251159000375704,9.240000000000002,12.94
GM417_RSN1621,2.4873236806254206e-05,2.6898501269587493e-05,0.020093407392083342,0.0176296944944379,19.472588359203616,12.681600768166556,7.116670274021094,36.71112398564408,159.17972086679572,11.364892370100335,15.960083421758368,17.011003945468794,20.395,37.575
GM418_RSN1628,0.00018803485235455668,0.00019522046559210954,0.14547229275522633,0.1406157082109745,160.4312551401425,122.89634215651498,28.38310300559847,237.1248373542292,937.958018912414,150.3398187562475,96.98982909932027,78.83294552829965,12.205000000000002,28.255000000000003
GM419_RSN1629,0.00013275038327628295,0.00011947611474809524,0.10124608843721257,0.10049404742743533,102.31839381891032,45.43542739034956,38.69970833932514,150.12062843774638,731.0270632359226,64.13261164334583,57.97799459811467,117.86046728444796,25.265000000000004,41.260000000000005
GM420_RSN1765,4.1716977689185435e-05,4.202954939729899e-05,0.03193700028598276,0.026664583442846113,30.50989662316648,17.709265643351994,6.651972515206915,47.12388530214678,176.0144762732694,20.384672216085544,18.65427940738077,14.483610617029504,27.325000000000003,53.355
GM421_RSN1766,0.0002820000323900694,0.00033956826392199835,0.2069352188543553,0.25370425984468714,234.1954767622767,69.57215120101993,9.672655024249076,199.88633401951327,480.45974934203423,33.17613236412284,104.51182074478324,14.163823514238237,11.260000000000002,22.7
GM422_RSN1771,8.869319791303055e-05,9.863655769034124e-05,0.06900185407736924,0.07833059873093874,79.17663769799869,29.752756794777184,10.72189301461014,77.66793940872256,307.21716880312863,36.79401997244901,29.96011998622827,33.19359211457692,20.105,35.27
GM423_RSN1776,0.00018561896646086552,0.00015631677698826814,0.13850261184427481,0.1450471030691309,159.6038489707244,56.8443539860429,8.416895583154632,135.68994253484394,400.5770562250472,30.167302380456768,68.0352791773397,17.30409293915602,13.19,27.975
GM424_RSN1788,0.000169955156373674,0.0001846419978444775,0.1319259980572016,0.14769721631670563,143.03736824759957,40.40009146860879,6.843350314251034,102.90272137549904,345.84946973333814,24.39182841196368,53.20945938096175,7.993614219102866,18.15,27.93
GM425_RSN1789,0.0001187757345521382,0.00011321251407287091,0.09365496625663645,0.0898250134243171,95.72199074213412,40.23570267877622,5.963053130046909,108.7182229800062,243.0453903810753,27.22283627859386,38.59403393761197,24.114584276385774,13.339999999999998,26.629999999999995
GM426_RSN1790,4.134949643707891e-05,4.542167801226633e-05,0.033236646066553695,0.03198410697132323,32.55982306187678,17.788785942050417,11.12589799806796,41.89754462088524,238.8510103411362,21.52394927107241,17.997726398150963,26.893139136701866,28.865,63.88
GM427_RSN1791,0.00016555751345076423,0.0001607280662796638,0.13173450825661498,0.12331613548051512,129.52720575021374,75.32495670755182,12.763523107093633,166.19231978796495,395.7158218413787,52.15759532229104,67.69218353012369,37.3286355015453,13.0,22.42
GM428_RSN1792,0.0001630171753803874,0.00016589141163725143,0.12673327330404702,0.1267115827198072,148.11344064073668,92.83437701518854,15.54779166317708,168.47252789409873,551.2057419618257,68.83475450912194,68.80549013788453,59.799958242461706,12.580000000000002,27.4
GM429_RSN1799,8.110694821776992e-05,7.484751671358245e-05,0.06480966329743962,0.04863850415519572,71.91607389210847,22.82553985846181,7.727469107203666,58.2460100090058,221.49928825450317,18.72697244155291,28.63103671914692,21.04835000502534,17.595,41.185
GM430_RSN1800,2.8944698089287453e-05,2.4097705455084343e-05,0.02160126940379391,0.02066274710915627,21.236596014097827,13.583077712061748,5.19937771382323,30.04680750505494,136.7506564193371,13.044161939075243,12.34663611168678,16.838824095299454,28.065000000000005,48.370000000000005
GM431_RSN1808,8.838799582465942e-05,8.471947341668267e-05,0.06744110509565066,0.05643150498229472,63.45126201028204,26.85819904338845,4.295930467743798,93.68339292076148,241.62547028202937,21.384254035741524,40.336702314409465,11.97314480833074,20.04,30.660000000000004
GM432_RSN1810,0.0001544129006333344,0.00015855871181994408,0.12103776454217766,0.14174362137959787,156.86954398456976,79.11249740856613,14.90017871998678,219.5293972714553,499.496493910422,63.97621748340056,86.93042294069166,45.85816173405213,7.670000000000002,30.845
GM433_RSN1814,3.289012219861762e-05,4.1540274807588834e-05,0.026398989058099804,0.02428669957337237,30.193259566984167,13.240166389354322,4.691956672769034,39.549078116583786,139.85909202928443,13.098005808420544,18.44845718421788,10.051065765007095,19.865,43.470000000000006
GM434_RSN1823,0.00011022095664255497,0.00011952979026167501,0.09168379485356766,0.0777460786034109,98.21315613687798,32.782298029164274,7.937531334772617,91.93764852101532,416.27548918647744,32.63286473853743,49.22251598966077,30.07692342193462,28.180000000000003,58.08
GM435_RSN1825,0.0001201055112270041,0.00011481681317646817,0.09479742649321757,0.09319165151112907,93.64036243958397,50.7413630758366,13.887542126811082,123.14184654291635,441.4229298597135,50.25629904502499,50.916860200674456,79.00719557985241,22.99,29.25
GM436_RSN1826,0.0001451819957329421,0.00013201143683787395,0.11290243245386397,0.098210736637894,136.63781804106807,31.64112831186984,13.045455207298485,94.04685661431994,345.6142127701465,38.5019140486066,48.5834531951376,66.95090078202523,20.2,27.395
GM437_RSN1829,0.00019654184510174924,0.00019055089586774446,0.14799871436502635,0.12967019583253048,162.57228247116262,92.3936271190192,16.140627754098084,208.08784833910195,484.5517640358945,54.83913995808327,110.63158620482722,42.16917810979991,8.634999999999998,17.42
GM438_RSN1840,0.00010015417138042716,8.276473427251492e-05,0.07888478329403065,0.07289811244883367,71.96218720404255,45.26016328343486,21.25418073190443,107.04974565626434,497.0531712911208,61.35630782367694,40.48871285838592,59.903843234254005,24.92,39.05500000000001
GM439_RSN2005,0.00018207037011825944,0.00019135544369053108,0.14614273456498875,0.136487082300983,142.83727054740345,44.11519528743422,1.771923426944033,61.93626621597972,200.67542492234583,10.130799104382028,43.19227812054776,5.806836462587862,12.155,50.82
GM440_RSN2006,0.0002196564794400565,0.00019159462343186989,0.1695333092539556,0.1558114521155304,190.19645093725276,43.95025581203723,2.466946291225746,73.12482119464045,225.85181114440215,9.504836003401794,45.75498231516432,2.908745832044044,8.945,31.46
GM441_RSN2008,0.0002843093813963933,0.0002555791052785809,0.20774583982418698,0.23398699993679906,288.03332906110984,51.01482928676284,3.7512640286103673,73.95466697028981,196.11974364720413,10.03821414470996,59.570311104556325,5.7308331327298,10.31,41.105
GM442_RSN2059,1.4543163372526622e-05,1.846253301797994e-05,0.011659197360804455,0.01140469470463517,11.949175092362523,8.057065200326292,2.762137823521111,20.89334071260948,181.6007087087964,14.40583631544482,8.03277917101717,10.548403172988312,33.2,65.67
